start_time,end_time,text
00:00:00.000,00:00:02.960,So we are going to facilitate a trauma scenario now.
00:00:02.960,00:00:06.000,So you can see we have a mannequin on the floor with blankets.
00:00:06.000,00:00:08.000,The blankets are supposed to be snow.
00:00:08.000,00:00:12.000,"It's not really snow, but we're hoping it's just enough to get our participants"
00:00:12.000,00:00:15.000,in that mindset to go with it.
00:00:15.000,00:00:18.000,"Okay, so these are the vital signs."
00:00:18.000,00:00:24.000,"And really the point of this scenario is for our responders to respond to the scene,"
00:00:24.000,00:00:28.000,"perform an assessment, and what they're going to find is that the patient has a pneumo."
00:00:28.000,00:00:34.000,"So by, I'll show you that again, clicking on the lungs, and then clicking on pneumothorax,"
00:00:34.000,00:00:36.000,I can then choose which side.
00:00:36.000,00:00:40.000,"So I'm going to give them a right side in pneumo, and then activate."
00:00:40.000,00:00:44.000,There might be some other injuries that are hard to simulate using the mannequin.
00:00:44.000,00:00:52.000,"So as the facilitator, I will be verbalizing what those are if the participants actually assess them or look for those things."
00:00:52.000,00:00:54.000,Okay.
00:00:54.000,00:00:56.000,Track 53.
00:00:56.000,00:01:02.000,"<ANON> male, ATV roll over, no helmet, county road <ANON>."
00:01:02.000,00:01:04.000,"Time now, 1430."
00:01:14.000,00:01:16.000,Hello.
00:01:16.000,00:01:20.000,"All right. Yes, I seen safe."
00:01:20.000,00:01:26.000,Like we have a <ANON> male on responsive.
00:01:26.000,00:01:32.000,"Sericity here, he might have his hands with the end on service by part of the tag here."
00:01:32.000,00:01:38.000,Okay. Our response will get to the vitals here. I'm going to start checking for any injuries.
00:01:38.000,00:01:41.000,"To my pad light, trying to hide."
00:01:41.000,00:01:42.000,People's rectalight.
00:01:42.000,00:01:44.000,People's eye reactant.
00:01:44.000,00:01:46.000,You can bring a D-capitalus in the head.
00:01:46.000,00:01:50.000,"I can give you a mouth, nose, G-V-D, triple deviation."
00:01:50.000,00:01:52.000,Negative.
00:01:52.000,00:01:54.000,Any quadiglundery is negative.
00:01:54.000,00:01:56.000,I'm off to take the long sounds here.
00:02:04.000,00:02:06.000,"Okay, no long sounds on the right."
00:02:06.000,00:02:08.000,That's correct.
00:02:08.000,00:02:10.000,I'm going to confirm that. I only have chest wire from the left.
00:02:10.000,00:02:12.000,That's correct.
00:02:12.000,00:02:14.000,"Okay, so I have a possible tension pneumo."
00:02:14.000,00:02:16.000,I'm going to stop right there.
00:02:16.000,00:02:18.000,"And we're going to actually, I won't grab any of the needle on the tag there."
00:02:18.000,00:02:20.000,We're going to need a little chest here.
00:02:20.000,00:02:24.000,"We're going to do a second interfaustal space, mid to lickler."
00:02:24.000,00:02:26.000,Just above the third rib.
00:02:30.000,00:02:32.000,I'm actually going to need a little chest.
00:02:34.000,00:02:36.000,"Okay, use a little chest."
00:02:36.000,00:02:38.000,"Right here, any type of..."
00:02:38.000,00:02:40.000,You do.
00:02:40.000,00:02:42.000,Are you confirmed that I do have chest rise on the right side now?
00:02:42.000,00:02:44.000,You do.
00:02:44.000,00:02:46.000,"Yeah, my stuff."
00:02:46.000,00:02:48.000,A abdominal area.
00:02:48.000,00:02:50.000,A abdomen soft.
00:02:50.000,00:02:52.000,"Okay, pelvis."
00:02:52.000,00:02:54.000,Some instability.
00:02:54.000,00:02:56.000,"Okay, so I noted I'm going to stop there."
00:02:56.000,00:02:58.000,I'm going to have to help it find your own.
00:02:58.000,00:03:00.000,I partner in <ANON>.
00:03:06.000,00:03:08.000,"Okay, do you partner?"
00:03:10.000,00:03:12.000,"Then when the person we were 11, do you?"
00:03:12.000,00:03:14.000,Yeah.
00:03:18.000,00:03:20.000,Okay.
00:03:22.000,00:03:24.000,A little higher.
00:03:24.000,00:03:26.000,Okay.
00:03:32.000,00:03:34.000,"Okay, down."
00:03:34.000,00:03:36.000,"Okay, pelvic stabilized."
00:03:36.000,00:03:38.000,I've gone to the left leg here.
00:03:38.000,00:03:40.000,Pulse is there in tact?
00:03:40.000,00:03:42.000,"Okay, circular your toes."
00:03:42.000,00:03:44.000,No response.
00:03:44.000,00:03:46.000,"Okay, down on the other leg here."
00:03:46.000,00:03:48.000,Negative.
00:03:48.000,00:03:50.000,Don't prepulse.
00:03:50.000,00:03:52.000,Pulse is intact.
00:03:52.000,00:03:54.000,Left arm.
00:03:54.000,00:03:56.000,Same pulse.
00:03:56.000,00:03:58.000,Pulse is intact.
00:03:58.000,00:04:00.000,Working a stupid fate right now.
00:04:00.000,00:04:02.000,No response.
00:04:02.000,00:04:04.000,Right arm pulses.
00:04:04.000,00:04:06.000,Pulse is intact.
00:04:06.000,00:04:08.000,Okay.
00:04:08.000,00:04:12.000,"All right, so the lenders we have are the right new modes."
00:04:12.000,00:04:16.000,It's been something of a celebration stuff.
00:04:16.000,00:04:18.000,Good fix.
00:04:18.000,00:04:20.000,We'll keep an eye on the right side.
00:04:20.000,00:04:22.000,Keep the replay.
00:04:22.000,00:04:24.000,It's pelvis is stabilized.
00:04:24.000,00:04:26.000,Let's go ahead and get them on a long board.
00:04:26.000,00:04:28.000,And we'll get out here.
