start,end,intervention
00:01:32.000,00:01:38.000,Start checking for injuries / Vitals
00:01:41.000,00:01:42.000,Pupil assessment
00:01:42.000,00:01:44.000,Pupils are reactive
00:01:44.000,00:01:46.000,Head assessment (DECAP-BTLS elements)
00:01:46.000,00:01:50.000,"Mouth, nose, GVD, triple deviation assessment"
00:01:54.000,00:01:56.000,Assess lung sounds
00:02:04.000,00:02:06.000,No lung sounds on the right
00:02:08.000,00:02:10.000,Confirmed chest expansion/sound only on the left
00:02:12.000,00:02:14.000,Possible tension pneumothorax diagnosis
00:02:16.000,00:02:26.000,"Prepare for needle chest decompression (second intercostal space, mid-clavicular, above third rib)"
00:02:30.000,00:02:32.000,Perform needle chest decompression
00:02:34.000,00:02:36.000,Needle chest decompression performed
00:02:40.000,00:02:42.000,Check for chest rise on right side
00:02:48.000,00:02:50.000,Abdomen soft (assessment finding)
00:02:52.000,00:02:54.000,Pelvic instability noted
00:02:56.000,00:03:00.000,Prepare for pelvic stabilization/binding
00:03:34.000,00:03:36.000,Pelvis stabilized
00:03:36.000,00:03:40.000,Assess pulse in left leg (Pulse intact)
00:03:40.000,00:03:42.000,Check circulation/neurological response of toes
00:03:50.000,00:03:52.000,Pulse intact in opposite leg
00:03:56.000,00:03:58.000,Pulse intact in left arm
00:04:02.000,00:04:06.000,Pulse intact in right arm
00:04:24.000,00:04:26.000,Get patient on long board
